WKT,GUID,WIJKNAAM,wvkId,sttNaam,op_10juli_naar_30kmu,snelheid_vanaf_10_juli
"LINESTRING Z (5.1143105242 52.1093184871 0,5.1155763874 52.1085389129 0,5.1156472598 52.1084973955 0,5.115752202 52.1084421874 0,5.1158004865 52.1084143581 0,5.1158351188 52.108391696 0,5.1158988388 52.1083442757 0,5.1159297493 52.1083296925 0,5.1159794842 52.1083158797 0)",147,Overvecht,272315001,Vader Rijndreef,Vader Rijndreef,30
"LINESTRING Z (5.0507692032 52.1233878678 0,5.0508190912 52.1233399884 0)",318,West,600771846,Kantonnaleweg,Kantonnaleweg,30
"LINESTRING Z (5.1538355064 52.0856004227 0,5.154201305 52.0853627486 0,5.1543409748 52.0852670761 0,5.1543737122 52.0852441798 0)",184,Oost,277310032,Herodotuslaan,Herodotuslaan,30
"LINESTRING Z (5.1806331554 52.0885641047 0,5.1807084058 52.0885755742 0,5.1808466887 52.0886022593 0,5.1808933695 52.0886066185 0,5.1812241687 52.0886260363 0,5.1814048832 52.0886452244 0,5.1815997294 52.0886719508 0,5.1821302712 52.0887589146 0,5.1823417232 52.0887874574 0,5.1825641882 52.0888196465 0,5.1826345338 52.0888315008 0,5.1827053471 52.088845735 0,5.1827415527 52.0888560307 0,5.1827540417 52.088861643 0,5.1828392411 52.088874437 0)",43,Oost,600409359,Lundlaan,Lundlaan,30
"LINESTRING Z (5.1102172785 52.0655338989 0,5.1102857192 52.0655412554 0,5.1103610253 52.0655616625 0,5.1104186733 52.0655706069 0,5.1111111111 52.0656388989 0,5.1111776734 52.0656453723 0)",60,Zuidwest,272306032,Vliegend Hertlaan,Vliegend Hertlaan,30
"LINESTRING Z (5.122941942 52.1157805658 0,5.123003666 52.115818746 0,5.1234870694 52.1161205391 0,5.1234903977 52.1161231018 0,5.1235342554 52.1161496301 0)",156,Overvecht,273317046,Elbedreef,Elbedreef,30
"LINESTRING Z (5.1170279251 52.1118293273 0,5.1170691072 52.1118041631 0,5.1170751459 52.1118011354 0,5.117808969 52.111354535 0,5.1178946416 52.1113012045 0,5.1179126892 52.1112888691 0,5.1179449419 52.1112690673 0)",103,Overvecht,272316039,Keggedreef,Keggedreef,30
"LINESTRING Z (5.1798532052 52.0884159802 0,5.1806331554 52.0885641047 0)",43,Oost,600409358,Lundlaan,Lundlaan,30
"LINESTRING Z (5.1235342554 52.1161496301 0,5.1235999425 52.1161893621 0,5.123608767 52.1161940007 0,5.1242977204 52.1166210882 0,5.1243653502 52.1166648705 0,5.1244357848 52.1167183562 0,5.1244783827 52.1167470286 0,5.1245117746 52.1167666538 0)",156,Overvecht,273317049,Elbedreef,Elbedreef,30
"LINESTRING Z (5.108054583 52.0653450343 0,5.1082812058 52.0653585643 0,5.109288022 52.0654593322 0,5.1100377328 52.0655327394 0,5.1102172785 52.0655338989 0)",60,Zuidwest,600776656,Vliegend Hertlaan,Vliegend Hertlaan,30
"LINESTRING Z (5.1557849932 52.0852018272 0,5.1558669402 52.0851468957 0,5.1558859989 52.0851336128 0,5.1563941154 52.0848047269 0,5.1563974847 52.0848020766 0,5.1564409597 52.0847736093 0)",189,Oost,278310024,Caesarlaan,Caesarlaan,30
"LINESTRING Z (5.1780877358 52.0884619286 0,5.1780884652 52.088180576 0,5.1780932206 52.0881371227 0,5.178132691 52.0880731492 0)",43,Oost,600935792,Lundlaan,Lundlaan,30
"LINESTRING Z (5.1567976163 52.0845506739 0,5.1568817107 52.0844936103 0,5.1568850903 52.0844906428 0,5.1569217619 52.0844652378 0,5.1571735972 52.0843019498 0,5.1571779659 52.0842984251 0,5.1572571792 52.0842419198 0)",189,Oost,278310026,Caesarlaan,Caesarlaan,30
"LINESTRING Z (5.1564409597 52.0847736093 0,5.1565081205 52.0847296318 0,5.1565116928 52.0847280632 0,5.1566514084 52.0846399856 0,5.1567763917 52.0845650772 0,5.1567976163 52.0845506739 0)",189,Oost,278310025,Caesarlaan,Caesarlaan,30
"LINESTRING Z (5.1796813906 52.0888711678 0,5.1796387721 52.0888918938 0,5.1796123862 52.0889625949 0,5.1795910185 52.0889916894 0,5.1795434411 52.0890037637 0)",8,Oost,601018171,Lundlaan,Lundlaan,30
"LINESTRING Z (5.1796234708 52.0887317105 0,5.1797511538 52.0883978244 0)",8,Oost,601018156,Lundlaan,Lundlaan,30
"LINESTRING Z (5.178132691 52.0880731492 0,5.1797511538 52.0883978244 0)",43,Oost,281311035,Lundlaan,Lundlaan,30
"LINESTRING Z (5.1381930058 52.0946405526 0,5.1382063239 52.0946577353 0,5.138224869 52.0946841283 0,5.1382858178 52.0947598589 0,5.1383667021 52.0948959665 0)",281,Oost,601222489,Snellenlaan,Snellenlaan,30
"LINESTRING Z (5.1798532052 52.0884159802 0,5.1796813906 52.0888711678 0)",8,Oost,601018172,Lundlaan,Lundlaan,30
"LINESTRING Z (5.1226135625 52.1155803481 0,5.122941942 52.1157805658 0)",156,Overvecht,273317047,Elbedreef,Elbedreef,30
"LINESTRING Z (5.1797511538 52.0883978244 0,5.1798532052 52.0884159802 0)",43,Oost,281311040,Lundlaan,Lundlaan,30
"LINESTRING Z (5.1249123512 52.1169979924 0,5.1249510406 52.1170230589 0,5.1249571621 52.1170273526 0,5.1252064857 52.1171828516 0,5.1252502074 52.1172042845 0,5.125255493 52.1172059859 0,5.1253526462 52.1172435145 0)",156,Overvecht,274317074,Elbedreef,Elbedreef,30
"LINESTRING Z (5.1795434411 52.0890037637 0,5.1795285899 52.0889853355 0,5.1796234708 52.0887317105 0)",8,Oost,601018175,Lundlaan,Lundlaan,30
"LINESTRING Z (5.1179449419 52.1112690673 0,5.1180302083 52.1112167165 0,5.1180392801 52.1112125226 0,5.11807005 52.1111950723 0,5.1184818514 52.1109423979 0,5.118517667 52.1109175006 0,5.1185514568 52.1108862145 0,5.1185939093 52.110860704 0)",103,Overvecht,273316099,Keggedreef,Keggedreef,30
"LINESTRING Z (5.1245117746 52.1167666538 0,5.1245942183 52.1168151077 0,5.1246176454 52.1168233443 0,5.1246538112 52.1168424902 0,5.1247899377 52.1169261285 0,5.1248238988 52.116945318 0,5.1248430131 52.1169530678 0,5.1249123512 52.1169979924 0)",156,Overvecht,274317075,Elbedreef,Elbedreef,30
"LINESTRING Z (5.1531947781 52.0860114362 0,5.1537648462 52.0856437995 0,5.1538355064 52.0856004227 0)",184,Oost,277310031,Herodotuslaan,Herodotuslaan,30
"LINESTRING Z (5.1543737122 52.0852441798 0,5.1544446546 52.0851945629 0,5.154450166 52.085193008 0,5.1544711076 52.0851846797 0,5.1544915209 52.0851741428 0,5.1548784219 52.0849255886 0,5.1549382339 52.0848909478 0,5.1549726682 52.0848757772 0,5.1550087724 52.0848644002 0,5.155047077 52.0848571593 0,5.1550869389 52.0848543094 0,5.1551263301 52.0848558591 0,5.1551635255 52.084861645 0,5.1551985216 52.0848714982 0,5.1552358758 52.0848866059 0,5.1552732339 52.0849052027 0,5.1553246248 52.0849338335 0,5.155737308 52.0851750707 0,5.1557397851 52.0851762314 0,5.1557849932 52.0852018272 0)",184,Oost,278310019,Herodotuslaan,Herodotuslaan,30
"LINESTRING Z (5.1383667021 52.0948959665 0,5.1384512865 52.0950382989 0,5.1384951151 52.095117567 0,5.1385166252 52.095164024 0,5.1385311463 52.0952134646 0,5.1385374828 52.0952667331 0,5.1385366426 52.0954596905 0,5.1385389577 52.0955725108 0,5.1385384214 52.0955973194 0)",281,Oost,601222490,Snellenlaan,Snellenlaan,30
"LINESTRING Z (5.1688690435 52.0893738273 0,5.1701084976 52.0894560432 0,5.1707216713 52.0903104241 0,5.1707811416 52.0904682016 0,5.1708560147 52.090551811 0,5.1712024453 52.0905246279 0,5.1714882995 52.0905715204 0,5.1721242999 52.0905772478 0,5.1722264393 52.090577434 0,5.1727809968 52.0905604673 0,5.1739203213 52.0903108676 0,5.1753370357 52.0900258032 0,5.1762146588 52.0900337947 0)",388,Oost,600780538,Harvardlaan,Harvardlaan,30
"LINESTRING Z (5.116272595 52.1125235048 0,5.1162817918 52.1125064405 0,5.1163117956 52.1124730457 0,5.1163291672 52.1124473661 0,5.116424286 52.1122473295 0,5.1164466212 52.1122114661 0,5.1164709302 52.112183789 0,5.1165035682 52.112156514 0,5.1165512169 52.1121243047 0,5.1169385962 52.1118860868 0,5.1169502435 52.1118767964 0,5.1170279251 52.1118293273 0)",103,Overvecht,272316079,Keggedreef,Keggedreef,30
"LINESTRING Z (5.1762146588 52.0900337947 0,5.1763522678 52.0900350465 0)",388,Oost,600780537,Harvardlaan,Harvardlaan,30
"LINESTRING Z (5.0470654479 52.1209742189 0,5.0471036145 52.1210501155 0,5.0471983937 52.1211272554 0,5.0484802455 52.1219860722 0,5.0496252394 52.1227511164 0,5.0502675088 52.1231774391 0,5.0506058639 52.1234107172 0,5.0506753236 52.1234228065 0,5.0507585675 52.1233980749 0,5.0507692032 52.1233878678 0)",318,West,600771844,Kantonnaleweg,Kantonnaleweg,30
"LINESTRING Z (5.1794578397 52.0890840471 0,5.1795434411 52.0890037637 0)",8,Oost,601018174,Lundlaan,Lundlaan,30
"LINESTRING Z (5.1380827032 52.0945160556 0,5.1381307474 52.0945592259 0,5.1381387222 52.0945705245 0,5.1381930058 52.0946405526 0)",281,Oost,275312097,Snellenlaan,Snellenlaan,30
"LINESTRING Z (5.1391371951 52.0857442104 0,5.1390690603 52.0857242027 0,5.1390576757 52.0857160806 0,5.1389593916 52.085661508 0,5.1388662691 52.0855962793 0,5.1388430289 52.0855713074 0)",23,Oost,600129942,Wilhelminapark,Wilhelminapark,30
"LINESTRING Z (5.1061101971 52.1028014583 0,5.1061987192 52.102759531 0,5.1062127292 52.1027576876 0,5.1062445634 52.1027497756 0,5.1062968241 52.1027309162 0,5.1063970479 52.102690239 0,5.1064253493 52.1026777616 0)",235,Noordwest,271314080,Nijenoord,Nijenoord,30
"LINESTRING Z (5.1208430564 52.1047638397 0,5.1208172132 52.1048162016 0,5.1204728096 52.1052559661 0,5.1204032975 52.1053365777 0)",196,Noordoost,601182237,Antonius Matthaeuslaan,Antonius Matthaeuslaan,30
"LINESTRING Z (5.1431494674 52.086580917 0,5.143244172 52.0865477644 0,5.1432546567 52.0865442511 0,5.1442479289 52.0862657885 0,5.1443153775 52.0862456053 0,5.1443808683 52.0862232143 0,5.1444681354 52.0861711256 0)",360,Oost,276310050,Prins Hendriklaan,Prins Hendriklaan,30
"LINESTRING Z (5.1215820042 52.1038477759 0,5.1216393011 52.1037942198 0)",196,Noordoost,273314081,Antonius Matthaeuslaan,Antonius Matthaeuslaan,30
"LINESTRING Z (5.1215520976 52.0801044554 0,5.1216460472 52.0801465808 0,5.1217329834 52.0802265068 0)",263,Binnenstad,601187449,Bleekstraat,Bleekstraat deel 1,30
"LINESTRING Z (5.1503464099 52.0859586908 0,5.1503667511 52.0859843475 0,5.1509598375 52.0867211983 0,5.1509565886 52.0867277639 0,5.1509577013 52.086733682 0,5.1509772672 52.0867717551 0,5.1509915734 52.0867843724 0,5.1510324264 52.0868072533 0)",30,Oost,277310018,Louis Bouwmeesterlaan,Louis Bouwmeesterlaan,30
"LINESTRING Z (5.10573358 52.1049863625 0,5.1057486976 52.1050431744 0,5.1057608708 52.1050886643 0,5.1057805714 52.1051476119 0,5.1058088973 52.1052213736 0,5.1058212009 52.1052642518 0,5.1058281445 52.1053155498 0,5.1058252367 52.1053775705 0,5.1057772027 52.1054493706 0)",22,Noordwest,271314107,Omloop,Omloop ,30
"LINESTRING Z (5.1204032975 52.1053365777 0,5.1204086768 52.1053871739 0,5.1204426222 52.1054463859 0,5.1204832232 52.1055086202 0)",196,Noordoost,601182238,Antonius Matthaeuslaan,Antonius Matthaeuslaan,30
"LINESTRING Z (5.1203474442 52.1055381396 0,5.1203265952 52.10549206 0,5.1203190765 52.105458779 0,5.1203227193 52.1054228835 0,5.1203349513 52.1053848951 0,5.1204032975 52.1053365777 0)",196,Noordoost,601182236,Antonius Matthaeuslaan,Antonius Matthaeuslaan,30
"LINESTRING Z (5.1216393011 52.1037942198 0,5.1218029894 52.1036685165 0,5.1218370165 52.1036451233 0,5.1219367077 52.103582427 0,5.1220674994 52.103483717 0,5.1221054971 52.1034549955 0)",196,Noordoost,273314082,Antonius Matthaeuslaan,Antonius Matthaeuslaan,30
"LINESTRING Z (5.1221054971 52.1034549955 0,5.1221781248 52.1034000975 0,5.1225857098 52.1030915446 0)",196,Noordoost,273314037,Antonius Matthaeuslaan,Antonius Matthaeuslaan,30
"LINESTRING Z (5.1217329834 52.0802265068 0,5.1217947991 52.0802833362 0)",263,Binnenstad,601187450,Bleekstraat,Bleekstraat deel 1,30
"LINESTRING Z (5.121205122 52.0797823877 0,5.121502199 52.0800538608 0,5.1215520976 52.0801044554 0)",263,Binnenstad,601204101,Bleekstraat,Bleekstraat deel 1,30
"LINESTRING Z (5.140486895 52.0903437516 0,5.1405090788 52.0903741201 0,5.1405169241 52.0903847963 0,5.1405880148 52.0904608077 0,5.1406483414 52.0905384774 0,5.1406584058 52.0905606019 0,5.1406573647 52.0905922467 0)",23,Oost,276311074,Wilhelminapark,Wilhelminapark,30
"LINESTRING Z (5.1507761002 52.0850439717 0,5.1508480259 52.08500776 0,5.151047151 52.0849072086 0,5.1511220195 52.0848678793 0,5.1512146852 52.0848136978 0,5.1513076234 52.0847528863 0,5.1513772959 52.0847019582 0,5.1514504231 52.0846421514 0,5.1517290987 52.0843955394 0,5.1517609885 52.0843655506 0,5.151789318 52.0843301161 0,5.1518116167 52.0842904208 0,5.1518287118 52.0842439688 0,5.1518376146 52.084199254 0,5.15183917 52.0841537444 0,5.1518342531 52.0840947066 0,5.1518277955 52.0840648219 0,5.1518146139 52.0840299032 0,5.1518110095 52.0839782022 0)",30,Oost,277310017,Louis Bouwmeesterlaan,Louis Bouwmeesterlaan,30
"LINESTRING Z (5.1052778477 52.1036382334 0,5.1054217776 52.1040527936 0)",22,Noordwest,271314073,Omloop,Omloop ,30
"LINESTRING Z (5.1048657025 52.1031716572 0,5.1050454819 52.1031985657 0,5.1052279426 52.103140489 0,5.1058310507 52.1029169556 0,5.1061101971 52.1028014583 0)",235,Noordwest,271314078,Nijenoord,Nijenoord,30
"LINESTRING Z (5.1528432705 52.0884219054 0,5.1528835974 52.0884359304 0,5.1531649514 52.088528538 0,5.153307274 52.0885727439 0,5.1533717408 52.0885891831 0,5.1534114519 52.0885960307 0,5.1534467815 52.0885997947 0,5.1534817631 52.0886011682 0,5.1535162876 52.0886001139 0,5.1535543874 52.088596151 0,5.1535911362 52.0885893712 0,5.1536256912 52.0885799509 0,5.1536571081 52.0885682091 0,5.1536820221 52.0885558728 0,5.1537047333 52.0885415 0,5.1537710985 52.0884879851 0,5.1539025124 52.0883820851 0,5.153971067 52.0883294624 0,5.1540571871 52.0882675979 0,5.1541711865 52.0881901356 0,5.1542410842 52.088148453 0,5.1543461787 52.0880919223 0,5.1544049613 52.0880641977 0,5.1544149555 52.088060073 0,5.1544694993 52.0880388223 0)",30,Oost,277311085,Louis Bouwmeesterlaan,Louis Bouwmeesterlaan,30
"LINESTRING Z (5.1499226558 52.0854698289 0,5.1499911846 52.0855338635 0,5.1500497664 52.0855945534 0,5.1500762946 52.0856246591 0,5.1502975 52.0858974965 0,5.1502993621 52.0858993499 0,5.1503464099 52.0859586908 0)",30,Oost,277310020,Louis Bouwmeesterlaan,Louis Bouwmeesterlaan,30
"LINESTRING Z (5.1386229478 52.0882719036 0,5.1386170446 52.0882395665 0,5.1385993328 52.0882064819 0,5.1385939722 52.0881791613 0,5.1385934968 52.0880391001 0,5.1385964312 52.0879668126 0,5.1386040713 52.0879018521 0,5.1386146938 52.0878494695 0,5.1386243047 52.0878213337 0,5.1386493053 52.087770167 0,5.1386673949 52.0877089055 0)",23,Oost,275311115,Wilhelminapark,Wilhelminapark,30
"LINESTRING Z (5.1388319165 52.088450636 0,5.138927526 52.0884768387 0,5.1390605 52.0885077369 0,5.1391568961 52.088537653 0,5.1391989883 52.0885536054 0,5.1392384889 52.0885711935 0,5.1393463386 52.0886283261 0,5.1394022201 52.0886615149 0,5.1394590462 52.0886988349 0,5.1395105896 52.0887360583 0,5.1395688006 52.0887818281 0,5.1396128381 52.0888193998 0,5.1396538015 52.0888577712 0,5.1397141694 52.0889180271 0,5.1397534982 52.0889609763 0,5.1398639139 52.0890995755 0,5.1399026084 52.0891512085 0,5.139946029 52.0892184466 0,5.1399915491 52.0893002525 0,5.1400321294 52.0893830285 0,5.1400672874 52.0894711421 0,5.1400933675 52.0895504516 0,5.140157008 52.0897770257 0,5.1401833396 52.0898531306 0,5.1402366665 52.0899794751 0,5.1402742045 52.0900515785 0,5.1403154852 52.0901181676 0,5.1403442753 52.0901573214 0,5.1404255567 52.0902596829 0,5.1404372316 52.0902757627 0,5.140486895 52.0903437516 0)",23,Oost,275311118,Wilhelminapark,Wilhelminapark,30
"LINESTRING Z (5.1406573647 52.0905922467 0,5.1406769029 52.0906004324 0,5.1406911089 52.0906092246 0,5.1407281436 52.090644705 0,5.1407415157 52.0906642388 0,5.1407477723 52.0906791262 0,5.1407483062 52.0907477863 0)",23,Oost,276311075,Wilhelminapark,Wilhelminapark,30
"LINESTRING Z (5.1386673949 52.0877089055 0,5.1386737331 52.0876828714 0,5.1386760694 52.0876483738 0,5.1386818529 52.0876147796 0,5.1387123241 52.0875282437 0)",23,Oost,275311136,Wilhelminapark,Wilhelminapark,30
"LINESTRING Z (5.1388144376 52.0852179795 0,5.1388449912 52.0851856913 0,5.1388840583 52.0851493593 0,5.1388911365 52.0851418692 0,5.1389647053 52.0851239462 0)",23,Oost,600778395,Wilhelminapark,Wilhelminapark,30
"LINESTRING Z (5.1387123241 52.0875282437 0,5.1387174577 52.0875136642 0,5.1387557158 52.0874399733 0,5.1388289772 52.0873106363 0,5.1388769 52.0872134933 0,5.138901461 52.0871491311 0,5.138920373 52.0870862544 0,5.1389376702 52.0870049011 0,5.1389483339 52.0869352561 0,5.1389500643 52.0869010646 0,5.1389490222 52.0868379904 0,5.13895159 52.0867914394 0,5.1389468584 52.0867514478 0,5.1389133115 52.0866472173 0,5.1388433216 52.0864719808 0,5.1388266253 52.0864145517 0,5.1388145001 52.0863571492 0,5.1388074458 52.0863006365 0,5.138804966 52.0862424534 0,5.1388077556 52.0861964639 0,5.1388157215 52.0861534154 0,5.1388293195 52.0861095059 0,5.1388472761 52.0860662609 0,5.138866883 52.0860308811 0,5.1388912506 52.0859968228 0,5.1389158741 52.0859684265 0,5.1389527723 52.0859320917 0,5.1390528545 52.0858456439 0,5.1390810816 52.08581564 0,5.1390832416 52.0858139404 0,5.1391371951 52.0857442104 0)",23,Oost,275311134,Wilhelminapark,Wilhelminapark,30
"LINESTRING Z (5.1518529231 52.0880290667 0,5.1519356195 52.0880621754 0,5.1519665594 52.0880759853 0,5.1522659507 52.0881994456 0,5.1523315822 52.0882264856 0)",30,Oost,277311051,Louis Bouwmeesterlaan,Louis Bouwmeesterlaan,30
"LINESTRING Z (5.1062419573 52.1028636098 0,5.1060194923 52.1029891473 0,5.1057267596 52.1031361063 0,5.1055451956 52.1032303988 0,5.1053388509 52.1033079141 0,5.1051706196 52.103424052 0)",235,Noordwest,600128250,Nijenoord,Nijenoord,30
"LINESTRING Z (5.1211966382 52.104347098 0,5.1212611377 52.1042662822 0,5.1213883694 52.104106002 0,5.1214096198 52.1040749843 0,5.1214448226 52.1040159066 0,5.1214710314 52.103979447 0,5.1215422233 52.103890574 0,5.1215575491 52.1038730718 0,5.1215820042 52.1038477759 0)",196,Noordoost,273314080,Antonius Matthaeuslaan,Antonius Matthaeuslaan,30
"LINESTRING Z (5.1388430289 52.0855713074 0,5.1387844993 52.0855084145 0,5.1387750435 52.085477172 0,5.1387674357 52.0854305152 0,5.1387667562 52.0853518675 0,5.1387713867 52.0853090852 0,5.1387779488 52.0852770908 0,5.1387891036 52.0852503874 0,5.1388068884 52.0852259576 0,5.1388144376 52.0852179795 0)",23,Oost,600778396,Wilhelminapark,Wilhelminapark,30
